title,body_part,difficulty,equipment,image1,image2,body_part__Abs,body_part__Arms,body_part__Back,body_part__Butt/Hips,body_part__Chest,body_part__Full Body/Integrated,body_part__Legs - Calves and Shins,body_part__Legs - Thighs,body_part__Neck,body_part__Shoulders,equipment__BOSU Trainer,equipment__Barbell,equipment__Bench,equipment__Cones,equipment__Dumbbells,equipment__Heavy Ropes,equipment__Hurdles,equipment__Kettlebells,equipment__Ladder,equipment__Medicine Ball,equipment__No Equipment,equipment__Pull up bar,equipment__Raised Platform/Box,equipment__Resistance Bands/Cables,equipment__Stability Ball,equipment__TRX,equipment__Weight Machines / Selectorized
Triceps Pressdown,['Arms'],Beginner,['Resistance Bands/Cables'],TricepsPressdown_3-1.jpg,TricepsPressdown_3-2.jpg,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Chest Press,"['Arms', 'Chest', 'Shoulders']",Beginner,"['Barbell', 'Bench']",ChestPress_3-1.jpg,ChestPress_3-2.jpg,False,True,False,False,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Supine Pelvic Tilts,['Abs'],Beginner,['No Equipment'],SupinePelvicTilts_3-1.jpg,SupinePelvicTilts_3-2.jpg,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Supermans,"['Back', 'Butt/Hips', 'Shoulders']",Beginner,['No Equipment'],Supermans_3-1.jpg,Supermans_3-2.jpg,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Bent Knee Push-up,"['Arms', 'Chest', 'Shoulders']",Beginner,['No Equipment'],BentKneePush-up_3-1.jpg,BentKneePush-up_3-2.jpg,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Cat-Cow,"['Back', 'Chest']",Beginner,['No Equipment'],Cat-Cow_3-1.jpg,Cat-Cow_3-2.jpg,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Cobra Exercise,"['Abs', 'Back']",Beginner,['No Equipment'],CobraExercise_3-1.jpg,CobraExercise_3-2.jpg,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Ankle Flexion ,['Legs - Calves and Shins'],Beginner,['Resistance Bands/Cables'],AnkleFlexion_3-1.jpg,AnkleFlexion_3-2.jpg,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Incline Chest Press,"['Chest', 'Shoulders']",Beginner,"['Bench', 'Dumbbells']",InclineChestPress_3-1.jpg,InclineChestPress_3-2.jpg,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Lateral Raise,['Shoulders'],Beginner,['Dumbbells'],LateralRaise_3-1.jpg,LateralRaise_3-2.jpg,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Step-up,"['Butt/Hips', 'Legs - Thighs']",Beginner,"['Dumbbells', 'Raised Platform/Box']",Step-up_3-1.jpg,Step-up_3-2.jpg,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Wrist Curl - Extension,['Arms'],Beginner,"['Bench', 'Dumbbells']",WristCurl-Extension_3-1.jpg,WristCurl-Extension_3-2.jpg,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
