title,body_part,difficulty,equipment,image1,image2
Triceps Pressdown,['Arms'],Beginner,['Resistance Bands/Cables'],TricepsPressdown_3-1.jpg,TricepsPressdown_3-2.jpg
Chest Press,"['Arms', 'Chest', 'Shoulders']",Beginner,"['Barbell', 'Bench']",ChestPress_3-1.jpg,ChestPress_3-2.jpg
Supine Pelvic Tilts,['Abs'],Beginner,['No Equipment'],SupinePelvicTilts_3-1.jpg,SupinePelvicTilts_3-2.jpg
Supermans,"['Back', 'Butt/Hips', 'Shoulders']",Beginner,['No Equipment'],Supermans_3-1.jpg,Supermans_3-2.jpg
Bent Knee Push-up,"['Arms', 'Chest', 'Shoulders']",Beginner,['No Equipment'],BentKneePush-up_3-1.jpg,BentKneePush-up_3-2.jpg
Cat-Cow,"['Back', 'Chest']",Beginner,['No Equipment'],Cat-Cow_3-1.jpg,Cat-Cow_3-2.jpg
Cobra Exercise,"['Abs', 'Back']",Beginner,['No Equipment'],CobraExercise_3-1.jpg,CobraExercise_3-2.jpg
Ankle Flexion ,['Legs - Calves and Shins'],Beginner,['Resistance Bands/Cables'],AnkleFlexion_3-1.jpg,AnkleFlexion_3-2.jpg
Incline Chest Press,"['Chest', 'Shoulders']",Beginner,"['Bench', 'Dumbbells']",InclineChestPress_3-1.jpg,InclineChestPress_3-2.jpg
Lateral Raise,['Shoulders'],Beginner,['Dumbbells'],LateralRaise_3-1.jpg,LateralRaise_3-2.jpg
Step-up,"['Butt/Hips', 'Legs - Thighs']",Beginner,"['Dumbbells', 'Raised Platform/Box']",Step-up_3-1.jpg,Step-up_3-2.jpg
Wrist Curl - Extension,['Arms'],Beginner,"['Bench', 'Dumbbells']",WristCurl-Extension_3-1.jpg,WristCurl-Extension_3-2.jpg
Wrist Curl - Flexion,['Arms'],Beginner,"['Bench', 'Dumbbells']",WristCurl-Flexion_30-1.jpg,WristCurl-Flexion_30-2.jpg
Wrist Supination & Pronation Exercises,['Arms'],Beginner,"['Bench', 'Dumbbells']",WristSupination&PronationExercises_30-1.jpg,WristSupination&PronationExercises_30-2.jpg
Hip Hinge,"['Butt/Hips', 'Legs - Thighs']",Beginner,['Barbell'],HipHinge_30-1.jpg,HipHinge_30-2.jpg
Incline Reverse Fly,"['Back', 'Shoulders']",Beginner,"['Bench', 'Dumbbells']",InclineReverseFly_30-1.jpg,InclineReverseFly_30-2.jpg
Side Lying Hip Abduction,['Butt/Hips'],Beginner,['No Equipment'],SideLyingHipAbduction_30-1.jpg,SideLyingHipAbduction_30-2.jpg
Side Lying Hip Adduction,"['Butt/Hips', 'Legs - Thighs']",Beginner,['No Equipment'],SideLyingHipAdduction_30-1.jpg,SideLyingHipAdduction_30-2.jpg
Seated Biceps Curl,['Arms'],Beginner,"['Bench', 'Dumbbells']",SeatedBicepsCurl_30-1.jpg,SeatedBicepsCurl_30-2.jpg
Seated High Back Row ,"['Arms', 'Back', 'Shoulders']",Beginner,"['Bench', 'Resistance Bands/Cables']",SeatedHighBackRow_30-1.jpg,SeatedHighBackRow_30-2.jpg
Seated Medicine Ball Trunk Rotations,['Abs'],Beginner,['Medicine Ball'],SeatedMedicineBallTrunkRotations_30-1.jpg,SeatedMedicineBallTrunkRotations_30-2.jpg
Seated Row ,"['Arms', 'Back']",Beginner,['Resistance Bands/Cables'],SeatedRow_30-1.jpg,SeatedRow_30-2.jpg
Glute Bridge Exercise,"['Abs', 'Butt/Hips']",Beginner,['No Equipment'],GluteBridgeExercise_30-1.jpg,GluteBridgeExercise_30-2.jpg
